"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"200035_at"	"DULLARD"	235.619370733333	243.346592733333	296.891749233333	208.913460233333
"200036_s_at"	"RPL10A"	12009.81738	11400.9919	12668.5421066667	11660.7181233333
"200037_s_at"	"CBX3"	2166.77572666667	2040.49735666667	1710.90600233333	2157.51550366667
"200038_s_at"	"RPL17"	19392.96149	19056.68078	19859.1129833333	19500.64754
"200039_s_at"	"PSMB2"	5160.096087	5088.79887633333	5586.79015666667	5139.269103
"200040_at"	"KHDRBS1"	4192.37694233333	4140.05240633333	3994.79410133333	4178.00404533333
"200041_s_at"	"BAT1"	4332.713073	4588.88688233333	4927.241163	4588.17634266667
"200042_at"	"HSPC117"	1263.520194	1272.39246766667	1604.54013466667	1202.54137
"200043_at"	"ERH"	4733.17025566667	4400.95698533333	4526.68347366667	4498.511225
"200044_at"	"SFRS9"	2082.89131566667	2180.22064133333	2149.962117	2009.02111766667
"200045_at"	"ABCF1"	1948.67331233333	1987.23744066667	2209.011738	1968.30184133333
"200046_at"	"DAD1"	1571.63306433333	1577.55722766667	1803.66838	1493.59591066667
"200047_s_at"	"YY1"	2279.72138766667	2181.91252333333	1976.16444233333	2103.818069
"200048_s_at"	"JTB"	2612.59314666667	2617.24195633333	2732.98095433333	2501.34045666667
"200049_at"	"MYST2"	386.656744733333	365.7560134	402.001570666667	370.143118766667
"200050_at"	"ZNF146"	1132.51225533333	1034.0068905	802.348342766667	1071.71686433333
"200051_at"	"SART1"	779.563553266667	806.1900321	942.4787628	735.3999987
"200052_s_at"	"ILF2"	3034.069441	3139.77857733333	3408.65585566667	3137.321045
"200053_at"	"SPAG7"	938.616150266667	964.6743106	1141.073511	912.7256171
"200054_at"	"ZNF259"	1067.382973	1060.11810866667	1257.290987	1055.0477611
"200055_at"	"TAF10"	1947.61618433333	2085.43358366667	2568.113825	1962.97733433333
"200056_s_at"	"C1D"	1305.81440433333	1146.30486643333	1328.615777	1204.20946633333
"200057_s_at"	"NONO"	7362.07194866667	7556.705293	8157.27136233333	7378.21964933333
"200058_s_at"	"ASCC3L1"	2597.88522066667	2518.986206	2779.38629566667	2619.19206633333
"200059_s_at"	"RHOA"	8988.660888	8855.63613766667	9537.44664166667	8718.59156833333
"200060_s_at"	"RNPS1"	1729.43377266667	1739.342935	1769.824437	1752.206422
"200061_s_at"	"RPS24"	21264.1742733333	20527.0382233333	21022.1117566667	21251.9919366667
"200062_s_at"	"RPL30"	19518.5652733333	18877.8325333333	20192.8857533333	19281.14091
